path,shape_z_y_x,spacing_x_y_z,size_x,size_y,size_z
synthRAD2025_Train_2.5D/Task2/AB/2ABA002/ct.mha,"(5, 309, 310)","(1.0, 1.0, 1.0)",310,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA005/ct.mha,"(5, 309, 289)","(1.0, 1.0, 1.0)",289,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA006/ct.mha,"(5, 310, 312)","(1.0, 1.0, 1.0)",312,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA008/ct.mha,"(5, 308, 315)","(1.0, 1.0, 1.0)",315,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA009/ct.mha,"(5, 313, 311)","(1.0, 1.0, 1.0)",311,313,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA024/ct.mha,"(5, 309, 308)","(1.0, 1.0, 1.0)",308,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA027/ct.mha,"(5, 310, 311)","(1.0, 1.0, 1.0)",311,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA030/ct.mha,"(5, 308, 309)","(1.0, 1.0, 1.0)",309,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA031/ct.mha,"(5, 310, 308)","(1.0, 1.0, 1.0)",308,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA032/ct.mha,"(5, 448, 449)","(1.0, 1.0, 1.0)",449,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA033/ct.mha,"(5, 317, 309)","(1.0, 1.0, 1.0)",309,317,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA036/ct.mha,"(5, 311, 314)","(1.0, 1.0, 1.0)",314,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA037/ct.mha,"(5, 459, 455)","(1.0, 1.0, 1.0)",455,459,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA038/ct.mha,"(5, 308, 310)","(1.0, 1.0, 1.0)",310,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA039/ct.mha,"(5, 510, 510)","(1.0, 1.0, 1.0)",510,510,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA040/ct.mha,"(5, 310, 311)","(1.0, 1.0, 1.0)",311,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA041/ct.mha,"(5, 311, 309)","(1.0, 1.0, 1.0)",309,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA043/ct.mha,"(5, 290, 291)","(1.0, 1.0, 1.0)",291,290,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA044/ct.mha,"(5, 309, 308)","(1.0, 1.0, 1.0)",308,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA046/ct.mha,"(5, 393, 393)","(1.0, 1.0, 1.0)",393,393,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA047/ct.mha,"(5, 311, 308)","(1.0, 1.0, 1.0)",308,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA048/ct.mha,"(5, 314, 309)","(1.0, 1.0, 1.0)",309,314,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA051/ct.mha,"(5, 309, 309)","(1.0, 1.0, 1.0)",309,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA056/ct.mha,"(5, 368, 370)","(1.0, 1.0, 1.0)",370,368,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA064/ct.mha,"(5, 308, 307)","(1.0, 1.0, 1.0)",307,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA065/ct.mha,"(5, 498, 499)","(1.0, 1.0, 1.0)",499,498,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA066/ct.mha,"(5, 308, 313)","(1.0, 1.0, 1.0)",313,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA067/ct.mha,"(5, 313, 310)","(1.0, 1.0, 1.0)",310,313,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA068/ct.mha,"(5, 314, 311)","(1.0, 1.0, 1.0)",311,314,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA071/ct.mha,"(5, 309, 309)","(1.0, 1.0, 1.0)",309,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA075/ct.mha,"(5, 312, 309)","(1.0, 1.0, 1.0)",309,312,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA077/ct.mha,"(5, 308, 313)","(1.0, 1.0, 1.0)",313,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA080/ct.mha,"(5, 309, 310)","(1.0, 1.0, 1.0)",310,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA082/ct.mha,"(5, 309, 308)","(1.0, 1.0, 1.0)",308,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA084/ct.mha,"(5, 308, 309)","(1.0, 1.0, 1.0)",309,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA086/ct.mha,"(5, 307, 308)","(1.0, 1.0, 1.0)",308,307,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA087/ct.mha,"(5, 311, 310)","(1.0, 1.0, 1.0)",310,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA091/ct.mha,"(5, 560, 560)","(1.0, 1.0, 1.0)",560,560,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA094/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA096/ct.mha,"(5, 308, 309)","(1.0, 1.0, 1.0)",309,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA098/ct.mha,"(5, 308, 307)","(1.0, 1.0, 1.0)",307,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA101/ct.mha,"(5, 310, 305)","(1.0, 1.0, 1.0)",305,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA102/ct.mha,"(5, 313, 311)","(1.0, 1.0, 1.0)",311,313,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA103/ct.mha,"(5, 310, 308)","(1.0, 1.0, 1.0)",308,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA104/ct.mha,"(5, 316, 308)","(1.0, 1.0, 1.0)",308,316,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA108/ct.mha,"(5, 314, 313)","(1.0, 1.0, 1.0)",313,314,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA109/ct.mha,"(5, 312, 311)","(1.0, 1.0, 1.0)",311,312,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA110/ct.mha,"(5, 309, 310)","(1.0, 1.0, 1.0)",310,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA112/ct.mha,"(5, 311, 308)","(1.0, 1.0, 1.0)",308,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA114/ct.mha,"(5, 306, 307)","(1.0, 1.0, 1.0)",307,306,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA115/ct.mha,"(5, 308, 307)","(1.0, 1.0, 1.0)",307,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA118/ct.mha,"(5, 310, 308)","(1.0, 1.0, 1.0)",308,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA122/ct.mha,"(5, 288, 303)","(1.0, 1.0, 1.0)",303,288,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA126/ct.mha,"(5, 450, 428)","(1.0, 1.0, 1.0)",428,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA128/ct.mha,"(5, 308, 311)","(1.0, 1.0, 1.0)",311,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA130/ct.mha,"(5, 311, 310)","(1.0, 1.0, 1.0)",310,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA132/ct.mha,"(5, 310, 317)","(1.0, 1.0, 1.0)",317,310,5
